fixed acidity;volatile acidity;residual sugar;pH
7.4;0.7;1.9;3.51
7.8;0.88;2.6;3.2
7.8;0.76;2.3;3.26
11.2;0.28;1.9;3.16
7.4;0.7;1.9;3.51
7.4;0.66;1.8;3.51
7.9;0.6;1.6;3.3
7.3;0.65;1.2;3.39
7.8;0.58;2;3.36
7.5;0.5;6.1;3.35
6.7;0.58;1.8;3.28
7.5;0.5;6.1;3.35
5.6;0.615;1.6;3.58
7.8;0.61;1.6;3.26
8.9;0.62;3.8;3.16
8.9;0.62;3.9;3.17
8.5;0.28;1.8;3.3
8.1;0.56;1.7;3.11
7.4;0.59;4.4;3.38
7.9;0.32;1.8;3.04
8.9;0.22;1.8;3.39
7.6;0.39;2.3;3.52
7.9;0.43;1.6;3.17
8.5;0.49;2.3;3.17
6.9;0.4;2.4;3.43
6.3;0.39;1.4;3.34
7.6;0.41;1.8;3.28
7.9;0.43;1.6;3.17
7.1;0.71;1.9;3.47
7.8;0.645;2;3.38
6.7;0.675;2.4;3.35
6.9;0.685;2.5;3.46
8.3;0.655;2.3;3.17
6.9;0.605;10.7;3.45
5.2;0.32;1.8;3.38
7.8;0.645;5.5;3.4
7.8;0.6;2.4;3.42
8.1;0.38;2.1;3.23
5.7;1.13;1.5;3.5
7.3;0.45;5.9;3.33
7.3;0.45;5.9;3.33
8.8;0.61;2.8;3.26
7.5;0.49;2.6;3.21
8.1;0.66;2.2;3.3
6.8;0.67;1.8;3.48
4.6;0.52;2.1;3.9
7.7;0.935;2.2;3.25
8.7;0.29;1.6;3.25
6.4;0.4;1.6;3.34
5.6;0.31;1.4;3.32
8.8;0.66;1.7;3.15
6.6;0.52;2.2;3.4
6.6;0.5;2.1;3.39
8.6;0.38;3;3.2
7.6;0.51;2.8;3.17
7.7;0.62;3.8;3.34
10.2;0.42;3.4;3.04
7.5;0.63;5.1;3.26
7.8;0.59;2.3;3.43
7.3;0.39;2.4;3.41
8.8;0.4;2.2;3.44
7.7;0.69;1.8;3.21
7.5;0.52;1.9;3.38
7;0.735;2;3.39
7.2;0.725;4.65;3.41
7.2;0.725;4.65;3.41
7.5;0.52;1.5;3.42
6.6;0.705;1.6;3.44
9.3;0.32;2;3.28
8;0.705;1.9;3.34
7.7;0.63;1.9;3.32
7.7;0.67;2.1;3.32
7.7;0.69;1.9;3.31
8.3;0.675;2.1;3.31
9.7;0.32;2.5;3.28
8.8;0.41;2.2;3.54
8.8;0.41;2.2;3.54
6.8;0.785;2.4;3.52
6.7;0.75;2;3.38
8.3;0.625;1.5;3.16
6.2;0.45;1.6;3.41
7.8;0.43;1.9;3.13
7.4;0.5;2;3.36
7.3;0.67;1.8;3.16
6.3;0.3;1.8;3.44
6.9;0.55;2.2;3.41
8.6;0.49;1.9;2.93
7.7;0.49;1.9;3.39
9.3;0.39;2.1;3.14
7;0.62;1.8;3.48
7.9;0.52;1.9;3.23
8.6;0.49;1.9;2.93
8.6;0.49;2;2.93
7.7;0.49;1.9;3.39
5;1.02;1.4;3.75
4.7;0.6;2.3;3.85
6.8;0.775;3;3.45
7;0.5;2;3.25
7.6;0.9;2.5;3.39
8.1;0.545;1.9;3.3
8.3;0.61;2.1;3.4
7.8;0.5;1.9;3.31
8.1;0.545;1.9;3.3
8.1;0.575;2.1;3.29
7.2;0.49;2.2;3.33
8.1;0.575;2.1;3.29
7.8;0.41;1.7;3.08
6.2;0.63;1.7;3.46
8;0.33;2.5;3.37
8.1;0.785;2;3.21
7.8;0.56;1.8;3.19
8.4;0.62;2.2;3.15
8.4;0.6;2.2;3.15
10.1;0.31;2.3;3.32
7.8;0.56;1.8;3.19
9.4;0.4;2.2;3.07
8.3;0.54;1.9;3.39
7.8;0.56;2;3.37
8.8;0.55;2.2;3.21
7;0.69;1.8;3.34
7.3;1.07;1.7;3.3
8.8;0.55;2.2;3.21
7.3;0.695;2.5;3.49
8;0.71;2.6;3.44
7.8;0.5;1.6;3.39
9;0.62;1.9;3.16
8.2;1.33;1.7;3.53
8.1;1.33;1.8;3.54
8;0.59;1.8;3.42
6.1;0.38;1.8;3.42
8;0.745;2;3.24
5.6;0.5;2.3;3.63
5.6;0.5;2.3;3.63
6.6;0.5;1.5;3.4
7.9;1.04;2.2;3.22
8.4;0.745;1.9;3.19
8.3;0.715;1.8;3.23
7.2;0.415;2;3.48
7.8;0.56;2.1;3.33
7.8;0.56;2;3.32
8.4;0.745;1.9;3.19
8.3;0.715;1.8;3.23
5.2;0.34;1.8;3.68
6.3;0.39;1.7;3.34
5.2;0.34;1.8;3.68
8.1;0.67;1.8;3.17
5.8;0.68;1.8;3.54
7.6;0.49;1.6;3.11
6.9;0.49;2.3;3.42
8.2;0.4;2.8;3.53
7.3;0.33;2.1;3.33
9.2;0.52;3.4;2.74
7.5;0.6;1.8;3.35
7.5;0.6;1.8;3.35
7.1;0.43;5.5;3.42
7.1;0.43;5.5;3.42
7.1;0.43;5.5;3.42
7.1;0.43;5.5;3.42
7.1;0.68;2.2;3.48
6.8;0.6;1.9;3.59
7.6;0.95;2;3.2
7.6;0.68;1.3;3.17
7.8;0.53;1.7;3.33
7.4;0.6;7.3;3.37
7.3;0.59;7.2;3.37
7.8;0.63;1.7;3.19
6.8;0.64;2.1;3.34
7.3;0.55;1.6;3.37
6.8;0.63;2.1;3.47
7.5;0.705;1.8;3
7.9;0.885;1.8;3.36
8;0.42;2;3.29
8;0.42;2;3.29
7.4;0.62;1.9;3.42
7.3;0.38;2;3.33
6.9;0.5;1.5;3.35
7.3;0.38;2;3.33
7.5;0.52;2.3;3.58
7;0.805;2.5;3.48
8.8;0.61;2.4;3.19
8.8;0.61;2.4;3.19
8.9;0.61;2;3.12
7.2;0.73;2.5;3.44
6.8;0.61;1.8;3.54
6.7;0.62;1.9;3.52
8.9;0.31;2;3.26
7.4;0.39;2;3.34
7.7;0.705;2.6;3.39
7.9;0.5;2;3.2
7.9;0.49;1.9;3.2
8.2;0.5;2.9;3.23
6.4;0.37;1.9;3.57
6.8;0.63;3.8;3.28
7.6;0.55;2.2;3.28
7.6;0.55;2.2;3.28
7.8;0.59;2;3.25
7.3;0.58;2.4;3.46
11.5;0.3;2;3.11
5.4;0.835;1.2;3.57
6.9;1.09;2.1;3.51
9.6;0.32;1.4;3.22
8.8;0.37;2.1;3.04
6.8;0.5;1.5;3.36
7;0.42;1.6;3.34
7;0.43;1.6;3.34
12.8;0.3;2.6;3.2
