tree        days        size        treat
N1T01        152        92.76        normal
N1T01        174        156.02        normal
N1T01        201        177.68        normal
N1T01        227        223.63        normal
N1T01        258        225.88        normal
N1T01        469        301.87        normal
N1T01        496        301.87        normal
N1T01        528        387.61        normal
N1T01        556        478.19        normal
N1T01        579        566.8        normal
N1T01        613        626.41        normal
N1T01        639        639.06        normal
N1T01        674        620.17        normal
N1T02        152        144.03        normal
N1T02        174        204.38        normal
N1T02        201        340.36        normal
N1T02        227        539.15        normal
N1T02        258        632.7        normal
N1T02        469        742.48        normal
N1T02        496        742.48        normal
N1T02        528        888.91        normal
N1T02        556        1248.88        normal
N1T02        579        1394.09        normal
N1T02        613        1510.2        normal
N1T02        639        1465.57        normal
N1T02        674        1556.2        normal
N1T03        152        79.04        normal
N1T03        174        122.73        normal
N1T03        201        152.93        normal
N1T03        227        179.47        normal
N1T03        258        221.41        normal
N1T03        469        262.43        normal
N1T03        496        267.74        normal
N1T03        528        336.97        normal
N1T03        556        415.72        normal
N1T03        579        478.19        normal
N1T03        613        555.57        normal
N1T03        639        518.01        normal
N1T03        674        539.15        normal
N1T04        152        97.51        normal
N1T04        174        146.94        normal
N1T04        201        214.86        normal
N1T04        227        292.95        normal
N1T04        258        376.15        normal
N1T04        469        464.05        normal
N1T04        496        478.19        normal
N1T04        528        620.17        normal
N1T04        556        706.27        normal
N1T04        579        804.32        normal
N1T04        613        906.87        normal
N1T04        639        915.99        normal
N1T04        674        862.64        normal
N1T05        152        54.6        normal
N1T05        174        90.02        normal
N1T05        201        137        normal
N1T05        227        230.44        normal
N1T05        258        354.25        normal
N1T05        469        411.58        normal
N1T05        496        419.89        normal
N1T05        528        450.34        normal
N1T05        556        645.48        normal
N1T05        579        742.48        normal
N1T05        613        780.55        normal
N1T05        639        812.41        normal
N1T05        674        772.78        normal
N1T06        152        113.3        normal
N1T06        174        156.02        normal
N1T06        201        206.44        normal
N1T06        227        372.41        normal
N1T06        258        407.48        normal
N1T06        469        523.22        normal
N1T06        496        523.22        normal
N1T06        528        578.25        normal
N1T06        556        658.52        normal
N1T06        579        757.48        normal
N1T06        613        1012.32        normal
N1T06        639        1012.32        normal
N1T06        674        1012.32        normal
N1T07        152        172.43        normal
N1T07        174        278.66        normal
N1T07        201        450.34        normal
N1T07        227        595.86        normal
N1T07        258        742.48        normal
N1T07        469        915.99        normal
N1T07        496        915.99        normal
N1T07        528        1043.15        normal
N1T07        556        1224.15        normal
N1T07        579        1702.75        normal
N1T07        613        1863.11        normal
N1T07        639        1737.15        normal
N1T07        674        1919.85        normal
N1T08        152        60.34        normal
N1T08        174        86.49        normal
N1T08        201        126.47        normal
N1T08        227        198.34        normal
N1T08        258        239.85        normal
N1T08        469        292.95        normal
N1T08        496        292.95        normal
N1T08        528        347.23        normal
N1T08        556        399.41        normal
N1T08        579        437.03        normal
N1T08        613        518.01        normal
N1T08        639        468.72        normal
N1T08        674        482.99        normal
N1T09        152        25.03        normal
N1T09        174        46.99        normal
N1T09        201        87.36        normal
N1T09        227        127.74        normal
N1T09        258        165.67        normal
N1T09        469        196.37        normal
N1T09        496        196.37        normal
N1T09        528        232.76        normal
N1T09        556        311.06        normal
N1T09        579        383.75        normal
N1T09        613        424.11        normal
N1T09        639        432.68        normal
N1T09        674        411.58        normal
N1T10        152        9.3        normal
N1T10        174        17.99        normal
N1T10        201        23.57        normal
N1T10        227        29.96        normal
N1T10        258        33.78        normal
N1T10        469        48.91        normal
N1T10        496        50.91        normal
N1T10        528        68.03        normal
N1T10        556        90.92        normal
N1T10        579        104.58        normal
N1T10        613        109.95        normal
N1T10        639        113.3        normal
N1T10        674        107.77        normal
N1T11        152        38.47        normal
N1T11        174        78.26        normal
N1T11        201        116.75        normal
N1T11        227        177.68        normal
N1T11        258        230.44        normal
N1T11        469        298.87        normal
N1T11        496        298.87        normal
N1T11        528        361.41        normal
N1T11        556        441.42        normal
N1T11        579        595.86        normal
N1T11        613        713.37        normal
N1T11        639        578.25        normal
N1T11        674        626.41        normal
N1T12        152        29.96        normal
N1T12        174        50.4        normal
N1T12        201        90.02        normal
N1T12        227        144.03        normal
N1T12        258        170.72        normal
N1T12        469        208.51        normal
N1T12        496        210.61        normal
N1T12        528        273.14        normal
N1T12        556        340.36        normal
N1T12        579        415.72        normal
N1T12        613        441.42        normal
N1T12        639        395.44        normal
N1T12        674        383.75        normal
N2T01        152        174.16        normal
N2T01        174        242.26        normal
N2T01        201        311.06        normal
N2T01        227        424.11        normal
N2T01        258        497.7        normal
N2T01        469        584.06        normal
N2T01        496        584.06        normal
N2T01        528        678.58        normal
N2T01        556        772.78        normal
N2T01        579        953.37        normal
N2T01        613        962.95        normal
N2T01        639        972.63        normal
N2T01        674        934.49        normal
N2T02        152        56.83        normal
N2T02        174        91.84        normal
N2T02        201        172.43        normal
N2T02        227        267.74        normal
N2T02        258        354.25        normal
N2T02        469        387.61        normal
N2T02        496        387.61        normal
N2T02        528        478.19        normal
N2T02        556        584.06        normal
N2T02        579        685.4        normal
N2T02        613        735.1        normal
N2T02        639        678.58        normal
N2T02        674        727.78        normal
N2T03        152        91.84        normal
N2T03        174        135.64        normal
N2T03        201        154.47        normal
N2T03        227        301.87        normal
N2T03        258        391.51        normal
N2T03        469        450.34        normal
N2T03        496        454.86        normal
N2T03        528        512.86        normal
N2T03        556        626.41        normal
N2T03        579        692.29        normal
N2T03        613        772.78        normal
N2T03        639        757.48        normal
N2T03        674        765.09        normal
N2T04        152        95.58        normal
N2T04        174        167.34        normal
N2T04        201        221.41        normal
N2T04        227        295.89        normal
N2T04        258        361.41        normal
N2T04        469        473.43        normal
N2T04        496        478.19        normal
N2T04        528        459.44        normal
N2T04        556        626.41        normal
N2T04        579        828.82        normal
N2T04        613        906.87        normal
N2T04        639        962.95        normal
N2T04        674        897.85        normal
N2T05        152        134.29        normal
N2T05        174        210.61        normal
N2T05        201        301.87        normal
N2T05        227        454.86        normal
N2T05        258        518.01        normal
N2T05        469        595.86        normal
N2T05        496        595.86        normal
N2T05        528        678.58        normal
N2T05        556        953.37        normal
N2T05        579        1152.86        normal
N2T05        613        1199.91        normal
N2T05        639        992.27        normal
N2T05        674        972.63        normal
N2T06        152        125.21        normal
N2T06        174        164.02        normal
N2T06        201        228.15        normal
N2T06        227        267.74        normal
N2T06        258        419.89        normal
N2T06        469        497.7        normal
N2T06        496        497.7        normal
N2T06        528        639.06        normal
N2T06        556        632.7        normal
N2T06        579        727.78        normal
N2T06        613        812.41        normal
N2T06        639        757.48        normal
N2T06        674        780.55        normal
N2T07        152        235.1        normal
N2T07        174        327.01        normal
N2T07        201        454.86        normal
N2T07        227        607.89        normal
N2T07        258        757.48        normal
N2T07        469        837.15        normal
N2T07        496        837.15        normal
N2T07        528        871.31        normal
N2T07        556        796.32        normal
N2T07        579        854.06        normal
N2T07        613        854.06        normal
N2T07        639        749.95        normal
N2T07        674        735.1        normal
N2T08        152        64.72        normal
N2T08        174        106.7        normal
N2T08        201        174.16        normal
N2T08        227        259.82        normal
N2T08        258        314.19        normal
N2T08        469        403.43        normal
N2T08        496        411.58        normal
N2T08        528        464.05        normal
N2T08        556        533.79        normal
N2T08        579        699.24        normal
N2T08        613        780.55        normal
N2T08        639        757.48        normal
N2T08        674        757.48        normal
N2T09        152        28.5        normal
N2T09        174        57.4        normal
N2T09        201        90.92        normal
N2T09        227        184.93        normal
N2T09        258        230.44        normal
N2T09        469        327.01        normal
N2T09        496        336.97        normal
N2T09        528        424.11        normal
N2T09        556        539.15        normal
N2T09        579        502.7        normal
N2T09        613        595.86        normal
N2T09        639        645.48        normal
N2T09        674        614        normal
N2T10        152        27.94        normal
N2T10        174        45.6        normal
N2T10        201        79.84        normal
N2T10        227        146.94        normal
N2T10        258        175.91        normal
N2T10        469        221.41        normal
N2T10        496        221.41        normal
N2T10        528        307.97        normal
