Departamento,Dep,Municipio,Depmun,Superficie,Poblacion,Irural,Region,Tipo,Zona,denspobl
Antioquia,05,Medellín,05001,374.83062476,2483545,5,Región Eje Cafetero,Capital,Urbano,6625.779314564244
Antioquia,05,Abejorral,05002,507.1341142,20258,45,Región Eje Cafetero,Otro,Rural,39.946040766665504
Antioquia,05,Abriaquí,05004,296.95598007,2710,58,Región Eje Cafetero,Otro,Rural,9.125931726854548
Antioquia,05,Alejandría,05021,128.93215315,4669,48,Región Eje Cafetero,Otro,Rural,36.21284439862005
Antioquia,05,Amagá,05030,84.13247691,30777,28,Región Eje Cafetero,Otro,Urbano,365.81592662395326
Antioquia,05,Amalfi,05031,1209.12687145,26552,54,Región Eje Cafetero,Otro,Rural,21.95964759939419
Antioquia,05,Andes,05034,402.50256241,43713,38,Región Eje Cafetero,Otro,Urbano,108.6030353155187
Antioquia,05,Angelópolis,05036,81.87630162,5790,37,Región Eje Cafetero,Otro,Urbano,70.71643302688786
Antioquia,05,Angostura,05038,338.66648207,11462,47,Región Eje Cafetero,Otro,Rural,33.844506636564304
Antioquia,05,Anorí,05040,1413.77390426,18737,58,Región Eje Cafetero,Otro,Rural,13.253179977039789
Antioquia,05,Santafé De Antioquia,05042,525.60137455,26598,45,Región Eje Cafetero,Otro,Rural,50.6048904890559
Antioquia,05,Anza,05044,255.9233139,7085,48,Región Eje Cafetero,Otro,Rural,27.684074154996317
Antioquia,05,Apartadó,05045,535.17237724,124647,34,Región Eje Cafetero,Otro,Urbano,232.91000302151545
Antioquia,05,Arboletes,05051,754.25190197,29942,48,Región Eje Cafetero,Otro,Rural,39.69761285559334
Antioquia,05,Argelia,05055,245.34178234,7577,46,Región Eje Cafetero,Otro,Rural,30.88344727804915
Antioquia,05,Armenia,05059,110.43497498,5085,43,Región Eje Cafetero,Otro,Rural,46.04519538235875
Antioquia,05,Barbosa,05079,205.66616815,53242,32,Región Eje Cafetero,Otro,Urbano,258.8758300838698
Antioquia,05,Belmira,05086,296.15316705,6054,51,Región Eje Cafetero,Otro,Rural,20.442124797462977
Antioquia,05,Bello,05088,147.75841796,538527,12,Región Eje Cafetero,Otro,Urbano,3644.645140595548
Antioquia,05,Betania,05091,180.52598682000001,10274,42,Región Eje Cafetero,Otro,Rural,56.91147397102482
Antioquia,05,Betulia,05093,262.36750258,15736,42,Región Eje Cafetero,Otro,Rural,59.9769401517318
Antioquia,05,Ciudad Bolívar,05101,260.44610792,26160,38,Región Eje Cafetero,Otro,Urbano,100.44304447058754
Antioquia,05,Briceño,05107,376.3467564,8065,52,Región Eje Cafetero,Otro,Rural,21.429705086731552
Antioquia,05,Buriticá,05113,355.21025575,9502,52,Región Eje Cafetero,Otro,Rural,26.75035375861329
Antioquia,05,Cáceres,05120,1873.80283368,29716,56,Región Eje Cafetero,Otro,Rural,15.858658907906621
Antioquia,05,Caicedo,05125,200.12988321,8420,46,Región Eje Cafetero,Otro,Rural,42.07267732807667
Antioquia,05,Caldas,05129,132.75593574,81658,24,Región Eje Cafetero,Otro,Urbano,615.0986737039439
Antioquia,05,Campamento,05134,206.34334641,9202,46,Región Eje Cafetero,Otro,Rural,44.59557412486572
Antioquia,05,Cañasgordas,05138,364.83123014,15490,46,Región Eje Cafetero,Otro,Rural,42.45798802382099
Antioquia,05,Caracolí,05142,262.79877541,4537,53,Región Eje Cafetero,Otro,Rural,17.2641595948143
Antioquia,05,Caramanta,05145,92.05778314,4670,42,Región Eje Cafetero,Otro,Rural,50.729007811299766
Antioquia,05,Carepa,05147,387.27064217,49659,40,Región Eje Cafetero,Otro,Urbano,128.22815517784903
Antioquia,05,El Carmen De Viboral,05148,423.64519157,61122,38,Región Eje Cafetero,Otro,Urbano,144.2763926423573
Antioquia,05,Carolina,05150,149.580818,3954,51,Región Eje Cafetero,Otro,Rural,26.433870685210454
Antioquia,05,Caucasia,05154,1429.12197616,93044,45,Región Eje Cafetero,Otro,Rural,65.10570934610209
Antioquia,05,Chigorodó,05172,721.68264526,58684,43,Región Eje Cafetero,Otro,Rural,81.31552058988196
Antioquia,05,Cisneros,05190,46.93473179,9844,34,Región Eje Cafetero,Otro,Urbano,209.73806868749128
Antioquia,05,Cocorná,05197,241.76470342,15042,41,Región Eje Cafetero,Otro,Rural,62.21751888185532
Antioquia,05,Concepción,05206,202.05448562,4760,49,Región Eje Cafetero,Otro,Rural,23.55800211707272
Antioquia,05,Concordia,05209,247.88039048,21504,39,Región Eje Cafetero,Otro,Urbano,86.75151736835363
Antioquia,05,Copacabana,05212,67.76071731,80000,20,Región Eje Cafetero,Otro,Urbano,1180.625046131171
Antioquia,05,Dabeiba,05234,1957.26270789,23255,57,Región Eje Cafetero,Otro,Rural,11.881389200466467
Antioquia,05,Don Matías,05237,203.33231063,19332,39,Región Eje Cafetero,Otro,Urbano,95.07588803816861
Antioquia,05,Ebéjico,05240,237.77937835,12108,42,Región Eje Cafetero,Otro,Rural,50.921152557551046
Antioquia,05,El Bagre,05250,1560.24887159,52925,51,Región Eje Cafetero,Otro,Rural,33.920870550648644
Antioquia,05,Entrerrios,05264,214.1959458,11465,46,Región Eje Cafetero,Otro,Rural,53.52575632176134
Antioquia,05,Envigado,05266,77.99670323,236114,8,Región Eje Cafetero,Otro,Urbano,3027.230513881298
Antioquia,05,Fredonia,05282,258.09259898,24553,38,Región Eje Cafetero,Otro,Urbano,95.13252257924161
Antioquia,05,Frontino,05284,1384.1313647,20657,55,Región Eje Cafetero,Otro,Rural,14.924161482661907
Antioquia,05,Giraldo,05306,93.49444129,5652,48,Región Eje Cafetero,Otro,Rural,60.45279186672383
Antioquia,05,Girardota,05308,82.85600095,53162,25,Región Eje Cafetero,Otro,Urbano,641.6191873909165
Antioquia,05,Gómez Plata,05310,332.20462869,9828,48,Región Eje Cafetero,Otro,Rural,29.584175388390193
Antioquia,05,Granada,05313,190.22512112,9870,43,Región Eje Cafetero,Otro,Rural,51.88589152624954
Antioquia,05,Guadalupe,05315,118.20974808,6607,45,Región Eje Cafetero,Otro,Rural,55.892175622678984
Antioquia,05,Guarne,05318,151.8116382,56774,30,Región Eje Cafetero,Otro,Urbano,373.9765980603192
Antioquia,05,Guatapé,05321,83.32688921,8548,41,Región Eje Cafetero,Otro,Rural,102.58393276217684
Antioquia,05,Heliconia,05347,114.84882851,5400,41,Región Eje Cafetero,Otro,Rural,47.01832896388505
Antioquia,05,Hispania,05353,57.52160128,5530,39,Región Eje Cafetero,Otro,Urbano,96.1377965311052
Antioquia,05,Itagui,05360,19.64955524,283794,0,Región Eje Cafetero,Otro,Urbano,14442.769647136298
Antioquia,05,Ituango,05361,2841.11608867,27419,58,Región Eje Cafetero,Otro,Rural,9.650784812821762
Antioquia,05,Jardín,05364,201.16256166,14662,41,Región Eje Cafetero,Otro,Rural,72.88632576066192
Antioquia,05,Jericó,05368,205.00067523,13637,41,Región Eje Cafetero,Otro,Rural,66.52173210990647
Antioquia,05,La Ceja,05376,132.71495274,66746,28,Región Eje Cafetero,Otro,Urbano,502.9275045650745
Antioquia,05,La Estrella,05380,36.63179449,73696,16,Región Eje Cafetero,Otro,Urbano,2011.8042543648264
Antioquia,05,La Pintada,05390,54.29631115,8298,36,Región Eje Cafetero,Otro,Urbano,152.828061874697
Antioquia,05,La Unión,05400,167.73965985,21963,37,Región Eje Cafetero,Otro,Urbano,130.93504553210764
Antioquia,05,Liborina,05411,216.41644317,10040,46,Región Eje Cafetero,Otro,Rural,46.39203866830652
Antioquia,05,Maceo,05425,387.10137584,8218,53,Región Eje Cafetero,Otro,Rural,21.229580964849717
Antioquia,05,Marinilla,05440,114.87120133,66399,27,Región Eje Cafetero,Otro,Urbano,578.029995605688
Antioquia,05,Montebello,05467,76.02845245,6635,37,Región Eje Cafetero,Otro,Urbano,87.26995994510736
Antioquia,05,Murindó,05475,1266.20138253,5088,68,Región Eje Cafetero,Otro,Rural,4.0183181523887255
Antioquia,05,Mutatá,05480,1075.17282089,14196,57,Región Eje Cafetero,Otro,Rural,13.203458759540558
Antioquia,05,Nariño,05483,316.76741824,9997,44,Región Eje Cafetero,Otro,Rural,31.559432644760633
Antioquia,05,Necoclí,05490,1255.54393569,43257,49,Región Eje Cafetero,Otro,Rural,34.452796728477345
Antioquia,05,Nechí,05495,937.32294501,26652,53,Región Eje Cafetero,Otro,Rural,28.434170039138067
Antioquia,05,Olaya,05501,86.98619201,3150,47,Región Eje Cafetero,Otro,Rural,36.21264395201797
Antioquia,05,Peñol,05541,118.31434977,21427,37,Región Eje Cafetero,Otro,Urbano,181.10229267754525
Antioquia,05,Peque,05543,434.06904339,8186,52,Región Eje Cafetero,Otro,Rural,18.85875098594646
